,Unnamed: 0,text,mod_text
632,632,“Menurut kami sosok prabowo memenuhi kriteria itu. Bersatu kembali sebagai suatu bangsa adalah langkah yang telah d… https://t.co/y8t9GPhAe7,"['turut', 'kami', 'sosok', 'prabowo', 'penuh', 'kriteria', 'itu', 'satu', 'kembali', 'bagai', 'suatu', 'bangsa', 'adalah', 'langkah', 'yang', 'telah', 'd']"
633,633,Dhachri menyatakan sosok Prabowo dianggap mampu menjaga ketahanan bangsa yang terancam menghadapi krisis global.… https://t.co/tXuqyrkjln,"['dhachri', 'nyata', 'sosok', 'prabowo', 'anggap', 'mampu', 'jaga', 'tahan', 'bangsa', 'yang', 'ancam', 'hadap', 'krisis', 'global']"
634,634,Nama Prabowo Subianto semakin diyakini sebagai sosok calon pemimpin yang sesuai untuk meyatukan keberagaman sosial… https://t.co/8vF76UXENP,"['nama', 'prabowo', 'subianto', 'makin', 'yakin', 'bagai', 'sosok', 'calon', 'pimpin', 'yang', 'sesuai', 'untuk', 'meyatukan', 'agam', 'sosial']"
635,635,Nama Prabowo Subianto semakin diyakini sebagai sosok calon pemimpin yang sesuai untuk meyatukan keberagaman sosial… https://t.co/AWSBPSjKiv,"['nama', 'prabowo', 'subianto', 'makin', 'yakin', 'bagai', 'sosok', 'calon', 'pimpin', 'yang', 'sesuai', 'untuk', 'meyatukan', 'agam', 'sosial']"
636,636,Selamat kepada Bapak @prabowo Subianto atas penghargaan di Indonesia Awards 2022 dalam kategori Outstanding Public… https://t.co/cLiSi7inA7,"['selamat', 'kepada', 'bapak', 'prabowo', 'subianto', 'atas', 'harga', 'di', 'indonesia', 'awards', 'dalam', 'kategori', 'outstanding', 'public']"
637,637,Prabowo menyadari bahwa kegotongroyongan diperlukan dalam mambangun dan memajukan bangsa kita ini Mending Prabowo… https://t.co/HFtCdJUUpP,"['prabowo', 'sadar', 'bahwa', 'kegotongroyongan', 'perlu', 'dalam', 'mambangun', 'dan', 'maju', 'bangsa', 'kita', 'ini', 'mending', 'prabowo']"
638,638,Prabowo menyadari bahwa kegotongroyongan diperlukan dalam mambangun dan memajukan bangsa kita ini… https://t.co/oMq80qxaPR,"['prabowo', 'sadar', 'bahwa', 'kegotongroyongan', 'perlu', 'dalam', 'mambangun', 'dan', 'maju', 'bangsa', 'kita', 'ini']"
639,639,"Persatuan dan kesatuan adalah kunci agar rakyat Indonesia bisa tersenyum menatap masa depan, itu lah yang Prabowo i… https://t.co/ofCRmio9f9","['satu', 'dan', 'satu', 'adalah', 'kunci', 'agar', 'rakyat', 'indonesia', 'bisa', 'senyum', 'tatap', 'masa', 'depan', 'itu', 'lah', 'yang', 'prabowo', 'i']"
640,640,"@geloraco TAK AKAN MUNGKIN MENANG.... 
BAPAK BANGSA BUKAN HARUS JADI PRESIDEN... 

JADILAH JUARA DI HATI RAKYAT TAN… https://t.co/BuxFcIvjAF","['geloraco', 'tak', 'akan', 'mungkin', 'menang', 'bapak', 'bangsa', 'bukan', 'harus', 'jadi', 'presiden', 'jadi', 'juara', 'di', 'hati', 'rakyat', 'tan']"
641,641,"Ahmad Muzani mengatakan, jika Prabowo Subianto diberi kesempatan untuk memimpin bangsa Indonesia, cuma satu hal yan… https://t.co/JeFteWodvx","['ahmad', 'muzani', 'kata', 'jika', 'prabowo', 'subianto', 'beri', 'sempat', 'untuk', 'pimpin', 'bangsa', 'indonesia', 'cuma', 'satu', 'hal', 'yan']"
642,642,"""Kalau kemampuan itu kemudian ditingkatkan dalam kursi kepresidenan. Insya Allah bangsa Indonesia akan lebih baik k… https://t.co/IJ8GDRvayF","['kalau', 'mampu', 'itu', 'kemudian', 'tingkat', 'dalam', 'kursi', 'presiden', 'insya', 'allah', 'bangsa', 'indonesia', 'akan', 'lebih', 'baik', 'k']"
643,643,"""Kunjungan Pak Prabowo ke Pentagon bertemu Menhan AS menunjukkan bahwa beliau memiliki pergaulan yang begitu luas d… https://t.co/iWc3hOb6bb","['kunjung', 'pak', 'prabowo', 'ke', 'pentagon', 'temu', 'menhan', 'as', 'tunjuk', 'bahwa', 'beliau', 'milik', 'gaul', 'yang', 'begitu', 'luas', 'd']"
644,644,"@Hunterjagar3 @KEWALORENZO prabowo udah ngeliat video itu blum ya...

kalo ada kader partainya yang bernama fadli z… https://t.co/07uG7A6Cul","['hunterjagar', 'kewalorenzo', 'prabowo', 'udah', 'ngeliat', 'video', 'itu', 'blum', 'ya', 'kalo', 'ada', 'kader', 'partai', 'yang', 'nama', 'fadli', 'z']"
645,645,Prabowo adalah orang yang tepat untuk memimpin bangsa kita ke depan. https://t.co/4giw0Ma8Dz @prabowo #MendingPrabowo #dekade08 #Pilpres2024,"['prabowo', 'adalah', 'orang', 'yang', 'tepat', 'untuk', 'pimpin', 'bangsa', 'kita', 'ke', 'depan', 'prabowo', 'mendingprabowo', 'dekade', 'pilpres']"
646,646,Para relawan dari berbagai elemen masyarakat ini melakukan tanda tangan petisi di spanduk sebagai aksi nyata untuk… https://t.co/Fa1En16i1y,"['para', 'rawan', 'dari', 'bagai', 'elemen', 'masyarakat', 'ini', 'laku', 'tanda', 'tangan', 'petisi', 'di', 'spanduk', 'bagai', 'aksi', 'nyata', 'untuk']"
647,647,"Gus Ali optimistis, keluhan dari masyarakat akan didengar dan direalisasikan Prabowo, jika menjadi Presiden 2024.… https://t.co/tHi5YMcl0j","['gus', 'ali', 'optimistis', 'keluh', 'dari', 'masyarakat', 'akan', 'dengar', 'dan', 'realisasi', 'prabowo', 'jika', 'jadi', 'presiden']"
648,648,"Menurut Gus Ali, saat ini bangsa ndonesia butuh pemimpin yang berani dan tegas di dalam dan di luar negeri, yaitu h… https://t.co/LqjaA4z8EA","['turut', 'gus', 'ali', 'saat', 'ini', 'bangsa', 'ndonesia', 'butuh', 'pimpin', 'yang', 'berani', 'dan', 'tegas', 'di', 'dalam', 'dan', 'di', 'luar', 'negeri', 'yaitu', 'h']"
649,649,"Alhamdulillah 🤲🤲
Terima kasih atas persembahan'MU kepada Sahabat BumDes Ruby Masawoy di'hari Jum'at yg barokah ini… https://t.co/gtVnA8mgXK","['alhamdulillah', 'terima', 'kasih', 'atas', 'sembah', 'kepada', 'sahabat', 'bumdes', 'ruby', 'masawoy', 'hari', 'jumat', 'yg', 'barokah', 'ini']"
650,650,"“Bapak Prabowo adalah figur yang bisa memimpin Indonesia, di dalam negeri maupun luar negeri,” ujar Gus Ali… https://t.co/kz8EO0fYUn","['bapak', 'prabowo', 'adalah', 'figur', 'yang', 'bisa', 'pimpin', 'indonesia', 'di', 'dalam', 'negeri', 'maupun', 'luar', 'negeri', 'ujar', 'gus', 'ali']"
